"PK","Lng","Lat"
"368","-74.115476","6.601322999999999"
"369","-74.109049","6.607165"
"370","-74.108424","6.616170000000001"
"371","-74.102952","6.622654"
"372","-74.094942","6.626851"
"373","-74.08693100000001","6.631046"
"374","-74.07892","6.635241"
"375","-74.071","6.639594000000001"
"376","-74.064261","6.645613999999999"
"377","-74.057647","6.65178"
"378","-74.051202","6.658105"
"379","-74.049695","6.666735999999999"
"380","-74.051726","6.675547"
"381","-74.053759","6.684358"
"382","-74.055789","6.69317"
"383","-74.054087","6.701857"
"384","-74.05407099999999","6.710889"
"385","-74.05184800000001","6.719411"
"386","-74.04624800000001","6.72633"
"387","-74.042812","6.734343"
"388","-74.04449","6.742676000000001"
"389","-74.039686","6.750337000000001"
"390","-74.032549","6.755276000000001"
"391","-74.023866","6.75779"
"392","-74.01494099999999","6.759264"
"393","-74.00682500000001","6.762945"
"394","-74.000507","6.769304"
"395","-73.993224","6.773945"
"396","-73.984424","6.776036"
"397","-73.975623","6.778125"
"398","-73.967297","6.776093"
"399","-73.96511099999999","6.76761"
"400","-73.959037","6.762236"
"401","-73.95008900000001","6.760934999999999"
"402","-73.94112199999999","6.762007"
"403","-73.933868","6.766315"
"404","-73.934403","6.775282"
"405","-73.930739","6.783449"
"406","-73.926329","6.791343999999999"
"407","-73.921921","6.799239999999999"
"408","-73.917722","6.807247"
"409","-73.913686","6.81534"
"410","-73.908772","6.822784000000001"
"411","-73.90168300000001","6.828302"
"412","-73.893629","6.830798"
"413","-73.885789","6.834956"
"414","-73.878364","6.840117999999999"
"415","-73.874369","6.84782"
"416","-73.870379","6.855703"
"417","-73.86618300000001","6.863685"
"418","-73.862769","6.872007999999999"
"419","-73.858942","6.880081"
"420","-73.854517","6.887871"
"421","-73.85451999999999","6.896794000000001"
"422","-73.85198099999999","6.905472"
"423","-73.846142","6.912326"
"424","-73.839917","6.917993"
"425","-73.843245","6.926337000000001"
"426","-73.845963","6.934815000000001"
"427","-73.845983","6.943092"
"428","-73.84775399999999","6.951613000000001"
"429","-73.85170100000001","6.959619"
"430","-73.855536","6.967716000000001"
"431","-73.852812","6.976004000000001"
"432","-73.84932499999999","6.984295"
"433","-73.846135","6.992587"
"434","-73.842276","7.000159"
"435","-73.836409","7.006466"
"436","-73.832784","7.01469"
"437","-73.82978900000001","7.023128"
"438","-73.82733","7.031536"
"439","-73.833704","7.037714"
"440","-73.839439","7.044538"
"441","-73.84584599999999","7.050779"
"442","-73.847495","7.059417"
"443","-73.84773","7.068456000000001"
"444","-73.846718","7.077381999999999"
"445","-73.844615","7.086177000000001"
"446","-73.846653","7.094629"
"447","-73.84996700000001","7.102629"
"448","-73.855923","7.109437"
"449","-73.854963","7.117946"
"450","-73.85157599999999","7.126321"
"451","-73.84397","7.130986"
"452","-73.838184","7.137934"
"453","-73.83483","7.146083"
"454","-73.831915","7.154425"
"455","-73.82529700000001","7.160220000000001"
"456","-73.820993","7.168175000000001"
"457","-73.818344","7.176773"
"458","-73.81437200000001","7.18489"
"459","-73.810109","7.19266"
"460","-73.804492","7.199684"
"461","-73.8001","7.207568"
"462","-73.79608899999999","7.215675"
"463","-73.79207599999999","7.22378"
"464","-73.788718","7.232116"
"465","-73.787485","7.241074"
"466","-73.786232","7.250029"
"467","-73.78497900000001","7.258984"
"468","-73.78572699999999","7.267981"
"469","-73.786722","7.276968"
"470","-73.78772499999999","7.285954"
"471","-73.788731","7.29494"
"472","-73.789738","7.303926"
"473","-73.793232","7.312234"
"474","-73.796691","7.320547000000001"
"475","-73.794417","7.329278"
"476","-73.790616","7.337348"
"477","-73.78730899999999","7.345214"
"478","-73.78293600000001","7.352893000000001"
"479","-73.777725","7.359977"
"480","-73.76915099999999","7.362712"
"481","-73.765125","7.370756"
"482","-73.758852","7.377102"
"483","-73.754603","7.384782"
"484","-73.75322199999999","7.393170000000001"
"485","-73.74719899999999","7.399796"
"486","-73.742176","7.406523"
"487","-73.73375","7.409843"
"488","-73.72820400000001","7.416127"
"489","-73.72706599999999","7.425017"
"490","-73.729568","7.433505"
"491","-73.730884","7.442447999999999"
"492","-73.72621700000001","7.450036"
"493","-73.720775","7.457265000000001"
"494","-73.71920799999999","7.466102"
"495","-73.71567899999999","7.474266000000001"
"496","-73.709219","7.480575"
"497","-73.70026","7.481581"
"498","-73.691344","7.48318"
"499","-73.682776","7.485656"
"500","-73.67523300000001","7.490416999999999"
"501","-73.667237","7.494443"
"502","-73.660571","7.500566000000001"
"503","-73.653903","7.506689"
